Name,FIPS,"% Asian Population, 2017","% Black Population, 2017","% White Population, 2017","% Hispanic Population, 2017","% White Non-Hispanic Population, 2017","# Population, 2017","% Population, 18 to 24 Years, 2017","Median Household Income, 2017","% Education Attainment, Bachelor's Degree, 2017"
"85053, Phoenix, AZ",85053,2.9134,5.1312,75.3673,21.4542,64.5872,32059,10.9018,61527,12.9779
"85340, Litchfield Park, AZ",85340,6.3403,8.5318,66.9274,27.4037,52.4734,31576,7.9079,85461,20.3339
"85297, Gilbert, AZ",85297,6.647,4.1008,78.3219,16.3393,68.0155,31262,6.5607,99871,27.5003
"85395, Goodyear, AZ",85395,6.9199,7.1865,69.4947,23.3091,57.6483,30752,10.344,87968,20.1307
"85050, Phoenix, AZ",85050,5.8143,2.1725,85.8408,9.6053,79.1078,30150,6.209,92999,32.5529
"85331, Cave Creek, AZ",85331,2.1596,0.8904,92.5211,5.9472,88.3115,30098,4.2827,113114,34.7964
"85304, Glendale, AZ",85304,4.3883,4.7011,76.5788,20.1325,65.6231,29738,10.1587,78185,17.0273
"85257, Scottsdale, AZ",85257,2.7103,2.8998,78.074,20.2341,67.2261,29554,9.8971,62205,22.7397
"85212, Mesa, AZ",85212,4.4751,4.3069,77.6588,18.9403,66.7971,29139,9.187,96464,21.9162
"85006, Phoenix, AZ",85006,1.0438,5.8985,47.805,70.5562,15.4241,28838,10.3579,22962,9.1773
"85375, Sun City West, AZ",85375,0.9226,1.1393,96.7709,1.5167,95.6421,28615,0.2376,64022,23.3805
"85040, Phoenix, AZ",85040,2.1919,22.3201,30.8979,64.9547,5.5156,27921,11.7009,37488,9.0692
"85019, Phoenix, AZ",85019,3.7227,6.0018,46.3139,69.8996,13.9491,27292,11.0655,39191,4.8375
"85014, Phoenix, AZ",85014,2.4741,6.8526,64.7211,30.1619,51.0309,26676,8.2359,51035,19.819
"85388, Surprise, AZ",85388,3.8749,7.037,76.1769,18.5566,65.4451,26659,6.2756,84957,22.2642
"85306, Glendale, AZ",85306,4.0175,3.9007,79.2078,16.5976,70.2985,26534,10.8766,67251,13.2885
"85381, Peoria, AZ",85381,4.2839,3.6438,82.4628,15.454,72.6942,26401,10.1663,86115,20.1247
"85259, Scottsdale, AZ",85259,5.4505,1.6481,88.5889,5.3131,84.6531,25484,6.0391,126684,36.554
"85268, Fountain Hills, AZ",85268,2.352,1.1583,92.791,4.2799,89.9717,25468,4.3349,98541,29.6741
"85258, Scottsdale, AZ",85258,3.4656,1.3265,91.6467,4.557,88.3365,25104,4.1587,89237,31.622
"85024, Phoenix, AZ",85024,4.2745,2.8176,84.1461,11.9928,76.4921,24915,8.6534,80371,25.6981
"85139, Maricopa, AZ",85139,2.7702,7.8105,63.4355,32.9032,49.3629,24800,7.9798,67662,11.4463
"85298, Gilbert, AZ",85298,7.6239,3.933,81.6751,12.1164,73.141,23951,4.5844,101051,29.0922
"85028, Phoenix, AZ",85028,2.5645,1.5703,89.9652,8.4878,84.2973,21525,6.7131,97439,24.8905
"85310, Glendale, AZ",85310,3.6102,1.7417,88.0569,9.5207,81.5267,21301,8.1968,112116,22.3452
"85083, Phoenix, AZ",85083,9.8361,2.4146,81.5426,9.8558,74.368,20252,5.8858,132134,28.6529
"85013, Phoenix, AZ",85013,3.6428,8.4916,69.0537,25.7737,54.3978,20067,8.2723,54131,22.4087
"85085, Phoenix, AZ",85085,8.9027,2.9127,80.6633,10.399,73.7955,20050,8.5835,98214,28.1719
"85373, Sun City, AZ",85373,1.2506,1.5211,92.5833,6.4366,88.6121,19591,3.2209,64995,17.9716
"85253, Paradise Valley, AZ",85253,4.937,1.3343,90.0512,4.6008,86.7635,18736,5.4761,140185,37.4617
"85250, Scottsdale, AZ",85250,2.5985,1.4794,89.7642,7.337,84.8346,18318,6.3653,77969,27.968
"85284, Tempe, AZ",85284,9.0143,2.4836,82.1543,9.8681,75.0139,18038,7.5784,144267,34.7668
"85215, Mesa, AZ",85215,2.1375,2.0739,87.383,11.398,80.4622,17310,6.6667,78693,20.8381
"85007, Phoenix, AZ",85007,1.8551,13.6449,48.4455,54.851,24.0708,15471,9.6697,34712,11.8223
"85396, Buckeye, AZ",85396,2.9382,4.5501,76.7878,22.0106,65.4894,13648,5.6125,87571,20.5503
"85266, Scottsdale, AZ",85266,2.3092,1.347,93.3691,3.56,90.5067,12472,3.0468,133298,37.6254
"85305, Glendale, AZ",85305,6.3371,8.2391,57.2881,39.7934,38.8588,12198,12.2643,81894,16.9001
"85262, Scottsdale, AZ",85262,2.5874,1.3561,92.7288,3.6356,90.1747,12020,2.6622,150799,37.4142
"85387, Surprise, AZ",85387,1.5825,2.7142,88.5156,12.1651,80.992,11311,3.5629,80137,17.4324
"85087, New River, AZ",85087,2.5224,3.2908,84.2419,11.7259,77.8049,11061,6.0031,94668,16.6667
"85307, Glendale, AZ",85307,4.2204,10.3439,58.8036,35.789,42.5907,10615,14.0556,57850,12.9608
"85355, Waddell, AZ",85355,3.0074,5.3588,78.0603,22.1819,65.3749,9909,6.9129,95379,21.4785
"85003, Phoenix, AZ",85003,3.2641,10.7852,60.1917,38.4045,41.6457,8762,19.7444,41691,20.2221
"85045, Phoenix, AZ",85045,9.6952,4.5905,78.7282,9.6827,72.0682,7973,5.4434,139058,36.1354
"85034, Phoenix, AZ",85034,3.4009,12.0299,51.5471,57.1619,21.5524,7498,13.8704,32147,15.7438
